alkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
,1.42,15.626,-14.820,0.806,6.683,-1.633,-1.463,-15.347
furan,1.35,16.240,-15.267,0.973,7.998,-2.063,-1.787,-17.933
,1.35,16.240,-15.267,0.973,7.998,-2.063,-1.787,-17.933
,1.43,15.683,-14.871,0.812,6.469,-1.562,-1.413,-14.921
thiophene,1.36,17.600,-16.640,0.960,7.849,-2.016,-1.798,-17.647
,1.36,17.600,-16.640,0.960,7.849,-2.016,-1.798,-17.647
,1.43,17.021,-16.198,0.823,6.621,-1.578,-1.447,-15.188
tetrahydropyran,1.53,17.246,-16.608,0.638,5.218,-1.075,-1.031,-12.146
,1.53,17.246,-16.608,0.638,5.218,-1.075,-1.031,-12.146
,1.53,17.023,-16.395,0.629,5.126,-1.067,-1.051,-11.988
,1.53,17.023,-16.395,0.629,5.126,-1.067,-1.051,-11.988
THF,1.53,16.005,-15.363,0.643,5.173,-1.072,-1.017,-12.078
,1.53,16.004,-15.362,0.642,5.172,-1.071,-1.017,-12.078
,1.53,15.882,-15.241,0.641,5.120,-1.075,-1.054,-12.011
thiozolidine,1.52,17.584,-16.919,0.665,5.235,-1.097,-1.053,-12.200
thioxanthene,1.39,25.760,-24.858,0.902,7.244,-1.776,-1.627,-16.428
,1.39,25.760,-24.858,0.902,7.244,-1.776,-1.627,-16.428
,1.39,23.450,-22.554,0.896,7.295,-1.781,-1.646,-16.539
,1.39,23.450,-22.554,0.896,7.295,-1.781,-1.646,-16.539
,1.39,25.359,-24.463,0.895,7.251,-1.770,-1.630,-16.447
,1.39,25.359,-24.463,0.895,7.251,-1.770,-1.630,-16.447
,1.40,27.272,-26.379,0.893,7.155,-1.740,-1.590,-16.240
,1.40,27.272,-26.379,0.893,7.155,-1.740,-1.590,-16.240
,1.39,23.312,-22.419,0.893,7.280,-1.771,-1.639,-16.507
,1.39,23.312,-22.419,0.893,7.280,-1.771,-1.639,-16.507
,1.39,22.726,-21.836,0.891,7.273,-1.767,-1.638,-16.492
,1.39,22.726,-21.836,0.891,7.273,-1.767,-1.638,-16.492
,1.51,25.658,-24.964,0.694,5.421,-1.164,-1.126,-12.633
,1.51,25.658,-24.964,0.694,5.421,-1.164,-1.126,-12.633
piperazine,1.52,17.325,-16.688,0.638,5.252,-1.078,-1.038,-12.217
,1.52,17.325,-16.688,0.638,5.252,-1.078,-1.038,-12.217
pyrrolidine,1.54,15.774,-15.157,0.616,5.052,-1.042,-1.002,-11.819
,1.54,15.774,-15.157,0.616,5.052,-1.042,-1.002,-11.819
,1.55,15.598,-15.002,0.596,4.876,-1.007,-0.981,-11.452
dioxolane,1.54,16.358,-15.708,0.650,5.075,-1.035,-0.944,-11.846
DBN,1.52,20.956,-20.287,0.669,5.339,-1.111,-1.060,-12.432
,1.53,19.861,-19.215,0.646,5.182,-1.082,-1.043,-12.098
,1.53,19.596,-18.955,0.641,5.081,-1.054,-1.008,-11.961
,1.54,19.461,-18.828,0.633,5.067,-1.058,-1.027,-11.880
,1.54,19.469,-18.844,0.625,5.128,-1.063,-1.030,-11.880
benzonitrile,1.39,18.225,-17.303,0.923,7.329,-1.781,-1.654,-16.588
,1.39,18.225,-17.302,0.923,7.329,-1.781,-1.654,-16.588
,1.39,19.021,-18.104,0.917,7.163,-1.742,-1.596,-16.475
,1.39,19.021,-18.104,0.917,7.163,-1.742,-1.596,-16.475
,1.40,17.875,-16.962,0.913,7.259,-1.754,-1.635,-16.252
,1.40,17.875,-16.962,0.913,7.259,-1.754,-1.635,-16.252
,1.44,18.060,-17.173,0.887,6.421,-1.507,-1.461,-14.841
porphyrin,1.36,27.976,-27.003,0.972,8.086,-2.071,-1.868,-17.879
,1.36,27.976,-27.003,0.972,8.086,-2.071,-1.868,-17.879
,1.37,27.941,-26.987,0.954,7.760,-1.965,-1.766,-17.478
,1.37,27.941,-26.987,0.954,7.760,-1.964,-1.766,-17.478
,1.39,29.973,-29.051,0.922,7.326,-1.795,-1.654,-16.588
,1.39,29.973,-29.051,0.922,7.326,-1.795,-1.654,-16.588
,1.39,29.973,-29.052,0.922,7.326,-1.795,-1.654,-16.588
,1.39,29.973,-29.051,0.922,7.326,-1.795,-1.653,-16.588
,1.39,29.980,-29.084,0.896,7.215,-1.746,-1.615,-16.364
,1.39,29.980,-29.084,0.896,7.215,-1.746,-1.615,-16.364
,1.39,29.980,-29.084,0.896,7.215,-1.746,-1.615,-16.364
,1.39,29.980,-29.084,0.896,7.214,-1.746,-1.615,-16.364
,1.43,29.154,-28.323,0.830,6.530,-1.526,-1.381,-14.977
,1.43,29.154,-28.323,0.830,6.530,-1.526,-1.381,-14.977
,1.43,29.154,-28.324,0.830,6.530,-1.526,-1.381,-14.977
,1.43,29.154,-28.324,0.830,6.530,-1.526,-1.381,-14.977
,1.46,29.030,-28.265,0.765,6.115,-1.385,-1.277,-14.118
,1.46,29.030,-28.265,0.765,6.115,-1.385,-1.276,-14.118
,1.46,29.030,-28.265,0.765,6.115,-1.385,-1.276,-14.118
,1.46,29.030,-28.265,0.765,6.115,-1.385,-1.276,-14.118
aziridine,1.48,13.253,-12.447,0.806,5.558,-1.326,-1.247,-13.411
cyanogen,1.39,13.183,-12.097,1.086,7.258,-1.783,-1.783,-16.648
pyramidopyramidine,1.40,22.956,-22.029,0.927,7.113,-1.675,-1.535,-16.142
,1.42,21.593,-20.709,0.885,6.744,-1.537,-1.446,-15.390
,1.42,21.593,-20.708,0.885,6.743,-1.537,-1.446,-15.390
oxirane,1.47,13.663,-12.802,0.861,5.712,-1.414,-1.274,-13.837
ethylene carbonate,1.53,17.322,-16.621,0.702,5.180,-1.067,-0.964,-12.070
furfural,1.36,18.033,-17.052,0.981,7.850,-2.001,-1.742,-17.637
,1.36,19.243,-18.266,0.977,7.816,-1.984,-1.734,-17.557
,1.42,17.852,-16.999,0.854,6.653,-1.608,-1.464,-15.286
,1.46,18.148,-17.342,0.805,6.107,-1.342,-1.255,-14.022
ethylene glycol,1.51,14.946,-14.283,0.664,5.405,-1.122,-1.023,-12.505
tetrathiafulvalene,1.33,24.712,-23.650,1.062,8.534,-2.285,-2.017,-18.966
,1.33,24.712,-23.650,1.062,8.534,-2.285,-2.017,-18.966
,1.34,29.224,-28.172,1.053,8.313,-2.265,-1.934,-18.541
dithianodithiine,1.52,30.311,-29.605,0.706,5.324,-1.133,-1.111,-12.404
,1.52,30.311,-29.605,0.706,5.324,-1.133,-1.111,-12.404
,1.53,39.159,-38.475,0.684,5.113,-1.056,-1.017,-11.891
thiirane,1.48,15.175,-14.384,0.791,5.710,-1.289,-1.245,-13.465
thietane,1.54,16.072,-15.429,0.643,5.026,-1.045,-0.995,-11.803
,1.54,16.072,-15.429,0.643,5.026,-1.045,-0.995,-11.803
thiane,1.53,18.478,-17.831,0.647,5.198,-1.086,-1.070,-12.126
,1.53,18.478,-17.831,0.647,5.198,-1.086,-1.070,-12.126
,1.53,18.145,-17.513,0.632,5.132,-1.067,-1.053,-11.993
,1.53,18.145,-17.513,0.632,5.132,-1.067,-1.053,-11.993
thiaindans,1.39,22.292,-21.384,0.908,7.314,-1.801,-1.657,-16.626
,1.39,21.852,-20.948,0.904,7.343,-1.804,-1.662,-16.588
,1.39,20.065,-19.178,0.887,7.269,-1.769,-1.636,-16.475
,1.39,23.459,-22.572,0.887,7.147,-1.733,-1.576,-16.401
,1.39,20.566,-19.680,0.887,7.234,-1.765,-1.629,-16.364
,1.40,20.389,-19.506,0.882,7.211,-1.753,-1.621,-16.216
,1.51,21.450,-20.761,0.689,5.401,-1.157,-1.113,-12.602
,1.53,20.384,-19.727,0.657,5.134,-1.078,-1.043,-11.988
SeC3Se,1.27,24.341,-23.080,1.261,9.808,-2.649,-2.649,-21.481
SC3S,1.27,17.942,-16.680,1.262,9.803,-2.654,-2.654,-21.491
C5S,1.26,16.805,-15.497,1.308,10.094,-2.742,-2.742,-22.027
,1.28,17.152,-15.880,1.272,9.587,-2.571,-2.571,-21.087
,1.29,15.909,-14.691,1.219,9.279,-2.446,-2.446,-20.534
,1.28,14.708,-13.506,1.202,9.803,-2.537,-2.537,-21.352
NCCP,1.38,14.783,-13.741,1.043,7.422,-1.828,-1.828,-16.916
,,,,,,,,
"anion,cation,radical",,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
acetylene cation,1.19,10.970,-9.053,1.914,12.212,-3.951,-3.951,-25.883
Cyclopropenyl cation,1.36,12.989,-11.640,1.349,7.554,-2.000,-1.726,-17.665
,1.36,12.989,-11.640,1.349,7.554,-2.000,-1.726,-17.665
,1.36,12.989,-11.640,1.349,7.554,-2.000,-1.726,-17.665
cycloheptatrienyl cation,1.39,17.274,-16.163,1.110,7.237,-1.703,-1.654,-16.403
,1.39,17.274,-16.163,1.110,7.236,-1.703,-1.653,-16.402
,1.39,17.274,-16.163,1.110,7.236,-1.703,-1.653,-16.402
,1.39,17.274,-16.163,1.110,7.236,-1.703,-1.653,-16.401
,1.39,17.273,-16.163,1.110,7.236,-1.703,-1.653,-16.400
,1.39,17.273,-16.163,1.110,7.235,-1.703,-1.653,-16.400
,1.39,17.273,-16.163,1.110,7.235,-1.703,-1.653,-16.399
benzene-1-ylium,1.32,16.839,-15.477,1.362,8.708,-2.343,-2.097,-19.377
,1.32,16.839,-15.477,1.362,8.708,-2.343,-2.097,-19.377
,1.39,16.411,-15.292,1.119,7.311,-1.776,-1.638,-16.549
,1.39,16.411,-15.292,1.119,7.311,-1.776,-1.638,-16.549
,1.43,16.151,-15.052,1.100,6.567,-1.645,-1.517,-15.120
,1.43,16.151,-15.052,1.100,6.567,-1.645,-1.517,-15.120
propan-1-ylium,1.39,13.237,-12.049,1.188,7.179,-1.710,-1.704,-16.404
,1.69,12.075,-11.270,0.805,3.406,-0.780,-0.667,-8.295
,1.78,11.915,-11.161,0.754,2.753,-0.624,-0.465,-6.814
propan-2-ylium,1.44,12.486,-11.412,1.074,6.497,-1.451,-1.391,-14.850
2-methylpropan-2-ylium,1.46,14.341,-13.324,1.017,6.170,-1.348,-1.297,-14.170
,1.46,14.323,-13.308,1.015,6.156,-1.346,-1.292,-14.140
,1.46,14.317,-13.305,1.012,6.130,-1.338,-1.284,-14.085
ethen-1-ylium,1.25,11.139,-9.569,1.570,10.449,-2.933,-2.571,-22.521
Cyclopentadienyl Anion,1.41,15.315,-14.712,0.603,6.912,-1.734,-1.530,-15.802
,1.41,15.315,-14.712,0.603,6.912,-1.734,-1.530,-15.802
,1.41,15.313,-14.711,0.602,6.902,-1.731,-1.527,-15.783
,1.41,15.311,-14.709,0.602,6.898,-1.730,-1.526,-15.774
,1.41,15.311,-14.709,0.602,6.898,-1.730,-1.526,-15.774
acetate,1.57,14.006,-13.630,0.376,4.715,-0.928,-0.924,-11.014
benzen-1-ide,1.39,16.265,-15.577,0.688,7.207,-1.766,-1.620,-16.365
,1.39,16.265,-15.577,0.688,7.207,-1.766,-1.620,-16.365
,1.40,16.208,-15.547,0.661,7.120,-1.726,-1.598,-16.174
,1.40,16.208,-15.547,0.661,7.120,-1.726,-1.598,-16.174
,1.42,15.870,-15.284,0.585,6.759,-1.564,-1.563,-15.417
,1.42,15.870,-15.284,0.585,6.759,-1.564,-1.563,-15.417
ethyn-1-ide,1.24,10.567,-9.607,0.960,10.842,-2.979,-2.979,-23.281
ethen-1-ide,1.35,10.413,-9.741,0.671,8.027,-2.043,-1.934,-17.951
2-oxopropan-1-ide,1.38,14.515,-13.853,0.663,7.498,-1.912,-1.679,-16.898
,1.55,13.799,-13.398,0.401,4.942,-1.003,-0.992,-11.543
ethan-1-ide,1.54,9.947,-9.605,0.342,5.031,-1.146,-1.055,-11.767
Benzene radical,1.37,16.293,-15.353,0.940,7.600,-1.883,-1.761,-17.148
,1.37,16.293,-15.353,0.940,7.600,-1.883,-1.761,-17.148
,1.39,16.331,-15.441,0.889,7.247,-1.760,-1.629,-16.434
,1.39,16.331,-15.441,0.889,7.247,-1.760,-1.629,-16.434
,1.40,16.255,-15.369,0.886,7.140,-1.742,-1.616,-16.235
,1.40,16.255,-15.369,0.886,7.140,-1.742,-1.616,-16.235
3-methylbut-2-enenitrile radical,1.31,17.036,-15.925,1.111,8.884,-2.380,-2.172,-19.654
,1.37,15.995,-14.963,1.032,7.614,-1.906,-1.894,-17.302
,1.51,15.317,-14.598,0.719,5.460,-1.173,-1.156,-12.711
,1.51,15.494,-14.781,0.714,5.392,-1.160,-1.147,-12.573
allyl_radical,1.38,12.348,-11.443,0.905,7.469,-1.836,-1.710,-16.876
vinyl_radical,1.30,10.749,-9.662,1.087,9.087,-2.429,-2.229,-20.033
,,,,,,,,
mutiple type bonded,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
cyclobutadiene,1.33,14.365,-13.342,1.023,8.514,-2.252,-1.978,-19.006
,1.33,14.365,-13.342,1.023,8.514,-2.252,-1.978,-19.006
,1.57,13.322,-12.708,0.614,4.546,-0.996,-0.911,-10.956
,1.57,13.322,-12.708,0.614,4.546,-0.996,-0.911,-10.956
"hexa_1,5_dien_3_yne",1.21,16.771,-15.401,1.370,11.776,-3.394,-3.359,-25.012
,1.33,14.865,-13.847,1.019,8.434,-2.191,-1.989,-18.774
,1.33,14.865,-13.847,1.019,8.434,-2.191,-1.989,-18.774
,1.43,15.119,-14.256,0.864,6.616,-1.563,-1.528,-15.216
,1.43,15.119,-14.256,0.864,6.616,-1.563,-1.528,-15.216
"hexpta_1_en_3,6_diyne",1.20,16.081,-16.203,1.397,12.099,-3.499,-3.496,-25.567
,1.20,17.600,-13.995,1.385,11.930,-3.450,-3.435,-25.279
,1.33,15.380,-14.707,1.022,8.466,-2.203,-1.999,-18.837
,1.43,15.728,-15.069,0.857,6.557,-1.544,-1.511,-15.097
,1.47,15.926,-14.701,0.805,5.993,-1.373,-1.350,-13.909
,1.47,15.506,-14.200,0.803,5.972,-1.363,-1.339,-13.862
2-pentene,1.33,15.003,-14.002,1.001,8.549,-2.236,-2.013,-18.990
,1.50,13.648,-12.965,0.682,5.534,-1.196,-1.179,-12.875
,1.50,15.117,-14.441,0.675,5.517,-1.178,-1.163,-12.829
,1.53,14.169,-13.543,0.626,5.110,-1.078,-1.064,-11.956
isoprene,1.33,15.250,-14.245,1.005,8.464,-2.195,-1.997,-18.833
,1.34,15.694,-14.699,0.995,8.400,-2.171,-1.964,-18.697
,1.47,15.526,-14.781,0.744,5.958,-1.313,-1.274,-13.765
,1.50,14.997,-14.313,0.684,5.476,-1.172,-1.155,-12.745
indene,1.34,19.317,-18.330,0.988,8.295,-2.141,-1.920,-18.511
,1.38,20.332,-19.432,0.900,7.383,-1.812,-1.678,-16.721
,1.39,20.264,-19.377,0.888,7.270,-1.769,-1.643,-16.495
,1.39,19.170,-18.291,0.879,7.242,-1.764,-1.629,-16.428
,1.39,18.887,-18.012,0.875,7.215,-1.752,-1.622,-16.372
,1.39,19.175,-18.300,0.874,7.192,-1.747,-1.616,-16.328
,1.40,21.365,-20.512,0.854,7.029,-1.669,-1.524,-15.997
,1.47,19.801,-19.052,0.749,5.966,-1.342,-1.271,-13.830
,1.51,19.610,-18.927,0.683,5.420,-1.160,-1.121,-12.655
,1.51,18.481,-17.801,0.680,5.412,-1.164,-1.116,-12.625
dihydroindene,1.39,20.604,-19.715,0.889,7.319,-1.786,-1.658,-16.591
,1.39,20.604,-19.715,0.889,7.319,-1.786,-1.658,-16.591
,1.39,19.110,-18.234,0.876,7.240,-1.759,-1.629,-16.423
,1.39,19.414,-18.539,0.875,7.219,-1.755,-1.624,-16.383
,1.39,19.414,-18.539,0.875,7.219,-1.755,-1.624,-16.383
,1.40,21.724,-20.859,0.865,7.177,-1.720,-1.574,-16.292
,1.51,19.908,-19.240,0.668,5.363,-1.142,-1.109,-12.526
,1.51,19.908,-19.240,0.668,5.363,-1.142,-1.109,-12.526
,1.54,18.657,-18.044,0.613,4.974,-1.030,-1.001,-11.664
,1.54,18.657,-18.044,0.613,4.974,-1.030,-1.001,-11.664
cyclopentadiene,1.34,15.835,-14.859,0.975,8.249,-2.127,-1.909,-18.428
,1.34,15.835,-14.859,0.975,8.249,-2.127,-1.909,-18.428
,1.47,15.180,-14.444,0.736,5.945,-1.346,-1.264,-13.778
,1.50,15.058,-14.375,0.683,5.501,-1.192,-1.142,-12.824
,1.50,15.058,-14.375,0.683,5.501,-1.192,-1.142,-12.824
,,,,,,,,
organometallic and hypervalent,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
ferrocene,1.42,26.987,-26.147,0.840,6.744,-1.643,-1.481,-15.477
Bis(benzene)chromium(0),1.41,28.355,-27.503,0.852,6.851,-1.663,-1.522,-15.643
h3-CrCl3,1.40,27.583,-26.511,1.073,6.765,-1.762,-1.525,-16.089
metallacyclobutane,1.42,27.389,-26.389,1.001,6.789,-1.651,-1.505,-15.572
C3H4Li2,1.50,13.348,-12.690,0.658,5.379,-1.232,-1.215,-12.825
,1.53,13.290,-12.677,0.613,4.976,-1.227,-1.084,-12.042
C6H6_CrCO3,1.41,28.150,-27.253,0.897,6.929,-1.670,-1.546,-15.809
Si2C5H2,1.38,19.190,-18.274,0.916,7.520,-1.874,-1.689,-16.981
,1.42,19.612,-18.764,0.848,6.733,-1.613,-1.516,-15.417
,1.42,19.612,-18.764,0.848,6.732,-1.613,-1.516,-15.415
,1.46,21.248,-20.440,0.808,5.973,-1.446,-1.315,-13.948
,1.46,21.246,-20.439,0.807,5.964,-1.444,-1.313,-13.930
Ge2C5H2,1.38,24.399,-23.502,0.896,7.441,-1.855,-1.668,-16.826
,1.42,25.794,-24.956,0.837,6.731,-1.624,-1.523,-15.417
,1.42,25.794,-24.956,0.837,6.731,-1.624,-1.523,-15.417
,1.46,29.716,-28.913,0.803,6.103,-1.475,-1.342,-14.185
,1.46,29.716,-28.913,0.802,6.102,-1.474,-1.341,-14.185
C6Li6,1.42,18.138,-17.402,0.736,6.764,-1.600,-1.584,-15.451
C2B8,1.50,18.849,-18.020,0.829,5.426,-1.248,-1.233,-12.719
,,,,,,,,
Transition state,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
TS1,2.16,20.036,-19.869,0.166,1.186,-0.222,-0.204,-2.882
,2.41,20.848,-20.764,0.084,0.641,-0.102,-0.064,-1.633
TS2,2.19,18.789,-18.657,0.133,1.096,-0.184,-0.173,-2.673
,2.30,20.191,-20.099,0.092,0.807,-0.130,-0.087,-2.085
TS3,2.18,20.237,-20.091,0.146,1.141,-0.207,-0.191,-2.773
,2.38,21.077,-21.009,0.068,0.707,-0.108,-0.085,-1.741
TS4,2.08,19.788,-19.588,0.200,1.408,-0.262,-0.244,-3.422
,2.33,19.330,-19.227,0.103,0.788,-0.122,-0.099,-1.934
TS5,2.14,18.414,-18.246,0.168,1.244,-0.231,-0.215,-3.020
,2.40,19.529,-19.451,0.078,0.657,-0.103,-0.071,-1.654
TS6,1.92,20.566,-20.420,0.145,2.021,-0.395,-0.384,-4.910
TS7,1.98,36.002,-35.573,0.428,1.782,-0.353,-0.307,-4.298
TS8,2.00,36.648,-36.239,0.408,1.678,-0.324,-0.269,-4.127
TS9,2.04,22.873,-22.627,0.246,1.534,-0.312,-0.310,-3.738
TS10,2.13,17.407,-17.299,0.108,1.312,-0.202,-0.180,-3.111
TS11,2.21,23.836,-23.701,0.135,1.051,-0.184,-0.158,-2.547
TS12,2.15,30.785,-30.632,0.153,1.214,-0.216,-0.185,-2.945
TS13,2.01,27.393,-27.149,0.244,1.662,-0.337,-0.314,-4.065
TS14,1.95,22.124,-21.888,0.236,1.928,-0.315,-0.292,-4.640
TS15,2.41,27.666,-27.566,0.101,0.683,-0.117,-0.101,-1.638
TS16,2.06,29.557,-29.380,0.177,1.496,-0.237,-0.209,-3.583
TS17,2.02,30.036,-29.772,0.264,1.647,-0.331,-0.304,-3.975
TS18,1.97,37.351,-37.238,0.113,1.831,-0.333,-0.314,-4.467
TS19,1.92,37.721,-37.564,0.157,1.998,-0.376,-0.334,-4.967
TS20,2.45,20.002,-20.101,-0.099,0.637,-0.080,-0.073,-1.504
TS21,2.21,20.840,-20.775,0.065,1.096,-0.144,-0.121,-2.554
,,,,,,,,
dimers,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
Acetylenebromide dimer,1.20,23.498,-22.072,1.426,12.060,-3.520,-3.517,-25.492
,1.20,23.498,-22.072,1.426,12.060,-3.520,-3.517,-25.492
,3.31,16.206,-16.177,0.029,0.102,-0.023,-0.004,-0.212
Acetonitrile dimer ,1.46,14.949,-14.106,0.843,6.096,-1.404,-1.398,-14.157
,1.46,14.949,-14.106,0.842,6.096,-1.404,-1.398,-14.157
,3.25,11.858,-11.854,0.004,0.120,-0.015,-0.015,-0.244
Acetylene dimer ,3.30,7.449,-7.425,0.024,0.104,-0.024,-0.005,-0.213
Vinylchloride dimer,3.15,15.711,-15.682,0.029,0.140,-0.030,-0.009,-0.306
Diyne dimer,3.42,11.457,-11.466,-0.009,0.009,-0.004,-0.003,-0.165
,3.42,11.451,-11.459,-0.009,0.084,-0.013,-0.012,-0.164
,3.41,12.322,-12.350,-0.028,0.083,-0.008,-0.001,-0.169
Diyneflouride dimer,3.23,15.217,-15.210,0.007,0.135,-0.024,-0.020,-0.254
,3.23,15.217,-15.210,0.007,0.135,-0.024,-0.020,-0.254
,3.27,15.625,-15.627,-0.002,0.109,-0.016,-0.009,-0.232
Diynecyanide dimer,3.25,14.505,-14.474,0.031,0.122,-0.021,-0.020,-0.243
,3.25,14.505,-14.474,0.031,0.122,-0.021,-0.020,-0.243
,3.39,16.031,-16.003,0.028,0.094,-0.015,-0.013,-0.177
,3.36,15.720,-15.693,0.027,0.098,-0.015,-0.011,-0.190
,3.36,15.720,-15.693,0.027,0.098,-0.015,-0.011,-0.190
C12 dimer,3.18,24.677,-24.642,0.034,0.133,-0.018,-0.014,-0.283
,3.18,24.677,-24.643,0.034,0.133,-0.018,-0.014,-0.283
,3.18,24.678,-24.644,0.034,0.133,-0.018,-0.014,-0.283
,3.18,24.678,-24.644,0.034,0.133,-0.018,-0.014,-0.283
,3.18,24.677,-24.643,0.034,0.133,-0.018,-0.014,-0.283
,3.18,24.676,-24.643,0.034,0.132,-0.018,-0.014,-0.282
,3.19,24.508,-24.476,0.032,0.124,-0.017,-0.014,-0.275
,3.19,24.509,-24.477,0.032,0.124,-0.017,-0.014,-0.274
,3.19,24.509,-24.477,0.032,0.124,-0.017,-0.014,-0.274
,3.19,24.509,-24.477,0.032,0.125,-0.017,-0.014,-0.275
,3.19,24.509,-24.477,0.032,0.124,-0.017,-0.014,-0.274
,3.19,24.511,-24.479,0.032,0.124,-0.017,-0.014,-0.274
diyne_CN_NMe2_dimer,3.23,21.075,-21.073,0.002,0.126,-0.022,-0.015,-0.252
,3.40,21.243,-21.260,-0.017,0.087,-0.009,-0.008,-0.171
Dimethylcynamide dimer,3.08,18.108,-18.108,0.000,0.169,-0.036,-0.017,-0.353
Thioacetone dimer,3.51,18.449,-18.407,0.042,0.080,-0.015,-0.010,-0.134
Vinylfluoride dimer,3.06,13.235,-13.195,0.040,0.180,-0.051,-0.030,-0.371
diyneCF3 dimer,3.40,20.805,-20.767,0.039,0.131,-0.037,-0.021,-0.173
,3.40,20.802,-20.763,0.038,0.131,-0.037,-0.021,-0.173
,3.39,21.577,-21.560,0.017,0.094,-0.016,-0.015,-0.175
,3.37,21.558,-21.542,0.015,0.101,-0.016,-0.007,-0.182
,3.37,21.557,-21.541,0.015,0.101,-0.016,-0.007,-0.182
C2@C60,2.95,57.258,-57.186,0.072,0.168,-0.009,-0.003,-0.481
,2.95,57.258,-57.186,0.071,0.167,-0.009,-0.003,-0.479
,3.10,57.127,-57.061,0.067,0.120,-0.012,-0.006,-0.338
,3.11,57.126,-57.059,0.066,0.119,-0.011,-0.006,-0.336
,3.10,57.122,-57.056,0.066,0.119,-0.010,-0.005,-0.342
,3.10,57.122,-57.056,0.066,0.119,-0.010,-0.005,-0.342
,,,,,,,,
C-N nonded,,,,,,,,
system,dCN,Vbnp,V?,V(r),lv1,lv2,lv3,
Pyrrole,1.37,16.521,-15.565,0.955,7.995,-2.039,-1.786,
,1.37,16.521,-15.565,0.955,7.995,-2.039,-1.786,
Pyrazine,1.33,17.584,-16.534,1.05,8.911,-2.168,-2.145,
,1.33,17.584,-16.534,1.05,8.911,-2.168,-2.145,
,1.33,17.584,-16.534,1.05,8.911,-2.168,-2.145,
,1.33,17.584,-16.534,1.05,8.911,-2.168,-2.145,
Quinazoline,1.31,21.216,-20.11,1.107,9.532,-2.374,-2.323,
,1.31,21.315,-20.21,1.105,9.57,-2.393,-2.321,
,1.36,20.58,-19.602,0.977,8.216,-1.941,-1.937,
,1.36,24.817,-23.839,0.977,8.2,-1.947,-1.938,
Piperazine,1.46,17.945,-17.211,0.735,6.305,-1.464,-1.323,
,1.46,17.945,-17.211,0.735,6.305,-1.464,-1.323,
,1.46,17.944,-17.21,0.734,6.303,-1.464,-1.323,
,1.46,17.944,-17.21,0.734,6.303,-1.464,-1.323,
Pyrrolidine,1.46,16.584,-15.852,0.732,6.288,-1.458,-1.312,
,1.46,16.584,-15.852,0.732,6.288,-1.458,-1.312,
Thiozolidine,1.46,18.314,-17.541,0.772,6.409,-1.503,-1.347,
Triazole,1.31,17.118,-16.032,1.086,9.378,-2.364,-2.207,
,1.32,17.168,-16.096,1.072,9.302,-2.35,-2.103,
,1.35,17.135,-16.084,1.051,8.516,-2.187,-1.9,
,1.36,16.833,-15.866,0.967,8.233,-1.995,-1.881,
Tetrazole,1.31,17.33,-16.206,1.124,9.54,-2.407,-2.204,
,1.34,17.278,-16.191,1.087,8.571,-2.204,-1.933,
DBN,1.27,22.891,-21.731,1.16,10.564,-2.791,-2.617,
,1.38,23.424,-22.511,0.913,7.703,-1.917,-1.676,
,1.45,21.871,-21.078,0.793,6.557,-1.557,-1.406,
,1.45,21.736,-20.953,0.783,6.465,-1.534,-1.366,
,1.46,20.429,-19.703,0.726,6.29,-1.408,-1.399,
Benzonitrile,1.15,18.485,-16.913,1.572,14.886,-4.143,-4.142,
Porphyrin,1.35,32.253,-31.269,0.984,8.1,-2.035,-1.81,
,1.35,32.253,-31.269,0.984,8.1,-2.035,-1.81,
,1.36,32.253,-31.269,0.984,8.1,-2.035,-1.81,
,1.36,32.253,-31.269,0.983,8.1,-2.035,-1.809,
,1.37,32.3,-31.341,0.96,8.365,-2.05,-1.925,
,1.37,32.3,-31.34,0.96,8.364,-2.05,-1.925,
,1.37,32.3,-31.34,0.96,8.364,-2.05,-1.925,
,1.37,32.3,-31.34,0.96,8.363,-2.05,-1.924,
Aziridine,1.46,13.557,-12.744,0.813,6.086,-1.469,-1.305,
,1.46,13.557,-12.744,0.813,6.086,-1.469,-1.305,
Cyanogen,1.15,14.79,-13.142,1.647,14.956,-4.172,-4.172,
Pyramidopyramidine,1.31,21.251,-20.119,1.131,9.572,-2.383,-2.34,
,1.31,21.25,-20.119,1.131,9.571,-2.383,-2.339,
,1.31,21.4,-20.274,1.126,9.552,-2.386,-2.313,
,1.31,21.4,-20.274,1.126,9.55,-2.385,-2.313,
,1.36,22.289,-21.275,1.013,8.299,-1.98,-1.969,
,1.36,22.288,-21.275,1.013,8.298,-1.98,-1.969,
,1.36,20.653,-19.66,0.993,8.152,-1.923,-1.916,
,1.36,20.652,-19.66,0.993,8.15,-1.923,-1.915,
TSC-N,1.82,23.157,-1.45,0.372,2.531,-0.421,-0.39,
,,,,,,,,
C-O bonded,,,,,,,,
system,dCO,Vbnp,V?,V(r),lv1,lv2,lv3,
